instancia,artista,t_lineal,t_binaria
70,Artista_81,0.069600,0.000995
70,Artista_122,0.059754,0.000869
70,Artista_162,0.057224,0.000898
71,Artista_0,0.026473,0.000675
71,Artista_40,0.069411,0.000952
71,Artista_81,0.067851,0.000646
71,Artista_122,0.061008,0.000685
71,Artista_162,0.064237,0.000858
72,Artista_0,0.026146,0.000716
72,Artista_40,0.069257,0.000835
72,Artista_81,0.068656,0.000915
72,Artista_122,0.059919,0.000876
72,Artista_162,0.056225,0.000866
73,Artista_0,0.026484,0.000930
73,Artista_40,0.069268,0.000995
73,Artista_81,0.068348,0.000867
73,Artista_122,0.059856,0.000871
73,Artista_162,0.057680,0.000836
74,Artista_0,0.026446,0.000797
74,Artista_40,0.068242,0.000897
74,Artista_81,0.068716,0.000981
74,Artista_122,0.061947,0.000856
74,Artista_162,0.059200,0.000863
75,Artista_0,0.026568,0.000854
75,Artista_40,0.068157,0.000802
75,Artista_81,0.067811,0.000833
75,Artista_122,0.062763,0.000867
75,Artista_162,0.059210,0.001115
76,Artista_0,0.026157,0.000908
76,Artista_40,0.067532,0.000867
76,Artista_81,0.068325,0.000702
76,Artista_122,0.060766,0.000968
76,Artista_162,0.057168,0.000773
77,Artista_0,0.026345,0.000853
77,Artista_40,0.068515,0.000785
77,Artista_81,0.068557,0.000915
77,Artista_122,0.062088,0.000919
77,Artista_162,0.059617,0.000780
78,Artista_0,0.026206,0.000828
78,Artista_40,0.068119,0.000761
78,Artista_81,0.068492,0.000783
78,Artista_122,0.061196,0.000830
78,Artista_162,0.057198,0.000679
79,Artista_0,0.027072,0.000783
79,Artista_40,0.068255,0.000841
79,Artista_81,0.067690,0.000922
79,Artista_122,0.059160,0.000708
79,Artista_162,0.058501,0.001020
80,Artista_0,0.026393,0.000664
80,Artista_40,0.068475,0.001002
80,Artista_81,0.067483,0.000680
80,Artista_122,0.059988,0.000878
80,Artista_162,0.056692,0.001016
81,Artista_0,0.026508,0.000889
81,Artista_40,0.068049,0.000696
81,Artista_81,0.066683,0.000820
81,Artista_122,0.059399,0.000721
81,Artista_162,0.058186,0.000995
82,Artista_0,0.026599,0.000816
82,Artista_40,0.068141,0.000824
82,Artista_81,0.068893,0.000847
82,Artista_122,0.060970,0.000756
82,Artista_162,0.058002,0.001026
83,Artista_0,0.026321,0.000846
83,Artista_40,0.067627,0.000928
83,Artista_81,0.069435,0.000790
83,Artista_122,0.061088,0.000790
83,Artista_162,0.058690,0.001089
84,Artista_0,0.026955,0.000748
84,Artista_40,0.067662,0.000837
84,Artista_81,0.068040,0.000825
84,Artista_122,0.061375,0.000662
84,Artista_162,0.058393,0.000998
85,Artista_0,0.027142,0.000849
85,Artista_40,0.069129,0.000822
85,Artista_81,0.068874,0.000499
85,Artista_122,0.058753,0.000742
85,Artista_162,0.058170,0.000639
86,Artista_0,0.026638,0.000777
86,Artista_40,0.067491,0.000845
86,Artista_81,0.068118,0.000809
86,Artista_122,0.061444,0.000829
86,Artista_162,0.057557,0.000862
87,Artista_0,0.026831,0.000701
87,Artista_40,0.068031,0.000997
87,Artista_81,0.069434,0.000806
87,Artista_122,0.065637,0.000918
87,Artista_162,0.063654,0.000893
